1F9E1                                                  :orange-heart
1F49B                                                  :yellow-heart
1F49A                                                  :green-heart
1F499                                                  :blue-heart
1F49C                                                  :purple-heart
1F90E                                                  :brown-heart
1F5A4                                                  :black-heart
1F90D                                                  :white-heart
1F4AF                                                  :hundred-points
1F4A2                                                  :anger-symbol
1F4A5                                                  :collision
1F4AB                                                  :dizzy
1F4A6                                                  :sweat-droplets
1F4A8                                                  :dashing-away
1F573 FE0F                                             :hole
1F573                                                  :hole
1F4A3                                                  :bomb
1F4AC                                                  :speech-balloon
1F441 FE0F 200D 1F5E8 FE0F                             :eye-in-speech-bubble
1F441 200D 1F5E8 FE0F                                  :eye-in-speech-bubble
1F441 FE0F 200D 1F5E8                                  :eye-in-speech-bubble
1F441 200D 1F5E8                                       :eye-in-speech-bubble
1F5E8 FE0F                                             :left-speech-bubble
1F5E8                                                  :left-speech-bubble
1F5EF FE0F                                             :right-anger-bubble
1F5EF                                                  :right-anger-bubble
1F4AD                                                  :thought-balloon
1F4A4                                                  :zzz
1F44B                                                  :waving-hand
1F44B 1F3FB                                            :waving-hand;skin-tone-l
1F44B 1F3FC                                            :waving-hand;skin-tone-ml
1F44B 1F3FD                                            :waving-hand;skin-tone-m
1F44B 1F3FE                                            :waving-hand;skin-tone-md
1F44B 1F3FF                                            :waving-hand;skin-tone-d
1F91A                                                  :raised-back-of-hand
1F91A 1F3FB                                            :raised-back-of-hand;skin-tone-l
1F91A 1F3FC                                            :raised-back-of-hand;skin-tone-ml
1F91A 1F3FD                                            :raised-back-of-hand;skin-tone-m
1F91A 1F3FE                                            :raised-back-of-hand;skin-tone-md
1F91A 1F3FF                                            :raised-back-of-hand;skin-tone-d
1F590 FE0F                                             :hand-with-fingers-splayed
1F590                                                  :hand-with-fingers-splayed
1F590 1F3FB                                            :hand-with-fingers-splayed;skin-tone-l
1F590 1F3FC                                            :hand-with-fingers-splayed;skin-tone-ml
1F590 1F3FD                                            :hand-with-fingers-splayed;skin-tone-m
1F590 1F3FE                                            :hand-with-fingers-splayed;skin-tone-md
